NUMCPT,NOMCLI,TYPE_CLIENT,SECTEUR_CLIENT,CONSOLIDATION_CLIENT,CODAME,CODGVR,SERVICE_TYPE
200091,CHARGUIA SERVICE CONSEIL 28 RUE 8601 Z.I.CHARGUIA B P 65,GENERAL,AGRICULTURE,CHARGUIA SERVICE CONSEIL,"ACTIVITES CONSEIL,REPARATION ET ENTRETIEN",,
200221,S A N I B E L 71 AVENUE TAIEB M'HIRI BELVEDERE,GENERAL,AGRICULTURE,S  A  N  I  B  E  L,AUTRES INDUSTRIES DIVERSES,,
200621,"SOCIETE MEDITERRANEENNE DU TRANSFORMATION DU LAIT ""S M T L"" Z. I. EL HENCHA",GENERAL,AGRICULTURE,"SOCIETE MEDITERRANEENNE DU TRANSFORMATION DU LAIT ""S M T L""",AUTRES INDUSTRIES ALIMENTAIRES,,
200751,SOCIETE NASR CONTRACTORS RUE OKBA IBN NEFAA Z.I. MADACASCAR,GENERAL,AGRICULTURE,SOCIETE NASR CONTRACTORS,HOTELLERIE,,
200761,COMPTOIR D'EQUIPEMENT GENERAL RTE DE TUNIS KKM 1 SFAX,GENERAL,AGRICULTURE,COMPTOIR D'EQUIPEMENT GENERAL,COMMERCE,,
200981,O T D KOUDIAT BOUSALEM,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
201201,HAKMOUNI ABDELAZIZ 65 RUE SIDI ALI EL KARRAY SFAX,GENERAL,AGRICULTURE,HAKMOUNI ABDELAZIZ,PRODUCTION VEGETALE,,
201211,OFFICE DES CEREALES 30 RUE ALAIN SAVARY TUNIS,GENERAL,AGRICULTURE,OFFICE DES CEREALES,PRODUCTION VEGETALE,,
201251,ENTREPRISE GHARBI FRERES 25 AV.LOUIS BRAILLE BUREAU N`4 ETAGE 2,GENERAL,AGRICULTURE,ENTREPRISE GHARBI FRERES,BATIMENT ET TRAVAUX PUBLICS,,
201281,TEINKO 9 RUE MED ALI ANNABI TUNIS,GENERAL,AGRICULTURE,TEINKO,AUTRES INDUSTRIES TEXTILES,,
201401,HASSINE BATTIKH STE COSMOPROF ZONE INDUSTRIELLE DE LA GOULETTE,GENERAL,AGRICULTURE,HASSINE BATTIKH STE  COSMOPROF,AUTRES INDUSTRIES CHIMIQUES,,
201571,MR NEJIB BEN MAHMOUD BOUABDALLAH KEBILI,GENERAL,AGRICULTURE,MR NEJIB BEN MAHMOUD BOUABDALLAH,BATIMENT ET TRAVAUX PUBLICS,,
201651,STE SELECT D'ALIMENT COMPOSE ROUTE ELLOUZA HZEG,GENERAL,AGRICULTURE,STE SELECT D'ALIMENT COMPOSE,FILATURE ET TISSAGE,,
201981,S O N A P R O V AVENUE TAIEB M'HIRI MEGRINE RIADH,GENERAL,AGRICULTURE,S O N A P R O V,PRODUCTION VEGETALE,,
201982,S O N A P R O V AVENUE TAIEB M'HIRI MEGRINE RIADH,GENERAL,AGRICULTURE,S O N A P R O V,PRODUCTION VEGETALE,,
202021,S A R O S T S.A. IMM. SAADI TOUR EF EL MENZAH IV,GENERAL,AGRICULTURE,S A R O S T S.A.,AUTRES INDUSTRIES CHIMIQUES,,
202081,O T D AGRO COMBINAT GAFSA GAFSA,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
202101,AGENCE DE MISE EN VALEUR ET DE PROMOTION CULTURELLE 20 RUE 8010 MONTPLAISIR,GENERAL,AGRICULTURE,AGENCE DE MISE EN VALEUR ET DE PROMOTION CULTURELLE,"AUTRES ACTIV.SOCIAUX,CULTURELS,RECREATIFS",,
202201,"SOCIETE DIMASSI DE LOCATION DE VOITURES ROUTE MATAR KM 1,5 SFAX",GENERAL,AGRICULTURE,SOCIETE DIMASSI DE LOCATION DE VOITURES,COMMERCE,,
202261,MONTAZAH ABOU NAWES TABARKA,GENERAL,AGRICULTURE,MONTAZAH ABOU NAWES,HOTELLERIE,,
203121,POLYCLINIQUE DE BIZERTE PLACE BOURGUIBA BIZERTE,GENERAL,AGRICULTURE,POLYCLINIQUE DE BIZERTE,ACTIVITES DE SANTE,,
203821,MED TAHAR M'HAMDI DELEGATION CEBELET OULED ASKER,GENERAL,AGRICULTURE,MED TAHAR M'HAMDI,PRODUCTION VEGETALE,,
204071,OFFICE DE LA MARINE MARCHANDE ET DES PORTS-SOUSSE- PORT DE SOUSSE,GENERAL,AGRICULTURE,OFFICE DE LA MARINE MARCHANDE ET DES PORTS,ACTIVITES AUXILIERES AU TRANSPORT,,
204101,SOCIETE ETUDE ET DEVELOPPEMENT SOUSSE NORD PORT EL KANTAOUI HAMMAM SOUSSE,GENERAL,AGRICULTURE,SOCIETE ETUDE ET DEVELOPPEMENT SOUSSE NORD,HOTELLERIE,,
204271,OFFICE DE LA MARINE MARCHANDE ET DES PORTS -ZARZIS- PORT ZARZIS,GENERAL,AGRICULTURE,OFFICE DE LA MARINE MARCHANDE ET DES PORTS,ACTIVITES AUXILIERES AU TRANSPORT,,
204281,OFFICE DE LA MARINE MARCHANDE ET DES PORTS -DIRECTION GENERALE- BATIMENT ADMINISTRATIF PORT LA GOULETTE,GENERAL,AGRICULTURE,OFFICE DE LA MARINE MARCHANDE ET DES PORTS,ACTIVITES AUXILIERES AU TRANSPORT,,
204371,OFFICE DE LA MARINE MARCHANDE ET DES PORTS :TUNIS-GOULETTE PORT GOULETTE,GENERAL,AGRICULTURE,OFFICE DE LA MARINE MARCHANDE ET DES PORTS,ACTIVITES AUXILIERES AU TRANSPORT,,
204401,M.H.T.I HOTEL DAR ISMAIL NOUR EL AIN 41 AVENUE KHEREDDINE PACHA TUNIS BELVEDERE,GENERAL,AGRICULTURE,M.H.T.I HOTEL DAR ISMAIL NOUR EL AIN,HOTELLERIE,,
204411,O. T. D. COMPLEXE AVICOLE RAS EL AIN MATEUR RAS EL AIN MATEUR,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
204781,O. N. A. S. 32 RUE DE LA MONNAIE TUNIS,GENERAL,AGRICULTURE,O.  N.  A.  S.,BATIMENT ET TRAVAUX PUBLICS,,
204831,OFFICE DE LA MARINE MARCHANDE ET DES PORTS -BIZERTE- PORT DE BIZERTE,GENERAL,AGRICULTURE,OFFICE DE LA MARINE MARCHANDE ET DES PORTS,ACTIVITES AUXILIERES AU TRANSPORT,,
204841,C O M O C A P SAHEB EL JEBEL,GENERAL,AGRICULTURE,C O M O C A P,CONSERVERIES,,
204881,OFFICE DE LA MARINE MARCHANDE ET DES PORTS -GABES- PORT DE GABES,GENERAL,AGRICULTURE,OFFICE DE LA MARINE MARCHANDE ET DES PORTS,ACTIVITES AUXILIERES AU TRANSPORT,,
204961,OFFICE NATIONAL DES MINES ZONE INDUSTRIEL CHARGUIA,GENERAL,AGRICULTURE,OFFICE NATIONAL DES MINES,MINES,,
205031,"SOCIETE MAGASIN GENERAL 24,AV DE FRANCE TUNIS",GENERAL,AGRICULTURE,SOCIETE MAGASIN GENERAL,FABRICATION D'HUILE ET DES CORPS GRAS,,
205151,O T D COMPLEXE AVICOLE EL KOBBA-ENNOUR BP 187 GROMBALIA,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
205331,STE PETROSERV CATERING Z.I. MADACASCAR PORT SFAX,GENERAL,AGRICULTURE,STE PETROSERV CATERING,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
205401,OFFICE DE LA TOPOGRAPHIE ET DE CADASTRE 3 AVENUE MOHAMED ALI AKID CITE EL KHADRA,GENERAL,AGRICULTURE,OFFICE DE LA TOPOGRAPHIE ET DE CADASTRE,"ACTIVITES CONSEIL,REPARATION ET ENTRETIEN",,
205561,MIN DEFENSE NATIONALE SERVICE HABILLEMENT ET SUBSISTANCE LA MANOUBA,GENERAL,AGRICULTURE,MIN DEFENSE NATIONALE SERVICE HABILLEMENT ET SUBSISTANCE,FABRICATION D'ENGRAIE HEXENORE DRT TIMBRE,,
205621,"STE DE GALVANISATION ET DE TRANSFORMATION DES METAUX ""SGTM"" Z.I.EL FAHS",GENERAL,AGRICULTURE,"STE DE GALVANISATION ET DE TRANSFORMATION DES METAUX ""SGTM""",FAB.DE MATER.ET EQUIP.AGRICOLE ET INDUSTR.,,
205801,""" MILED ABIDA "" USINE DE TOMATE DAHMANI",GENERAL,AGRICULTURE,""" MILED  ABIDA "" USINE  DE  TOMATE",CONSERVERIES,,
206041,"SOCIETE NOUVELLE DE BOISSONS ""S.N.B."" AV.H.BOURGUIBA LA MORNAGUIA",GENERAL,AGRICULTURE,"SOCIETE NOUVELLE DE BOISSONS ""S.N.B.""",INDUSTRIES DES BOISSONS,,
206051,C O G I T E L ROUE DE TUNIS KM 15 SIDI FATHALLAH SFAX,GENERAL,AGRICULTURE,C O G I T E L,FAB.DU PAPIER DE L'IMPRIMERIE ET EDITION,,
206241,CLINIQUE DE DIALYSE MONTAZAH NAHLI 027 MONTAZAH NAHLI EL GHAZALA ARIANA,GENERAL,AGRICULTURE,CLINIQUE DE DIALYSE MONTAZAH NAHLI,ACTIVITES DE SANTE,,
206281,SONOCAT 111 ROUTE DU KEF KM 2 TESTOUR,GENERAL,AGRICULTURE,SONOCAT,CONSERVERIES,,
206321,SOCIETE SEPROMEC GPN 5 KM 12 BIR DROUG,GENERAL,AGRICULTURE,SOCIETE SEPROMEC,AUTRES INDUSTRIES DIVERSES,,
206341,S . O . A . H . C L 'UNITE 8 AVENUE HABIB BOURGUIBA,GENERAL,AGRICULTURE,S . O . A . H . C L 'UNITE,COMMERCE,,
206451,"STE QUAINCAILLERIE GENERALE DU SUD "" QUIGES "" ROUTE SALTANIA KM 5 SFAX",GENERAL,AGRICULTURE,"STE QUAINCAILLERIE GENERALE DU SUD "" QUIGES """,COMMERCE,,
206551,ABDESSALEM KHROUF MENUISIER 017 SLAHEDDINE BOUCHOUCHA NOUVELLE MEDINA,GENERAL,AGRICULTURE,ABDESSALEM KHROUF,COMMERCE,,
206611,"AMILCAR PETROLEUM OPERATIONS "" APO "" IMM. MEZGHANNI RUE DU LAC",GENERAL,AGRICULTURE,"AMILCAR PETROLEUM OPERATIONS "" APO ""","SIDER.METALLUR.DES NON FERREUX,FONDERIE",,
206791,ENTREPRISE ZOUARI &COMPAGNIE ROUTE DE TUNIS BP N°160 Z . I AKOUDA,GENERAL,AGRICULTURE,ENTREPRISE ZOUARI &COMPAGNIE,COMMERCE,,
206861,MONCEF ZOUITER (PROPHARMA CENTRE) BP 163 RTE OUESLATIA KAIROUAN,GENERAL,AGRICULTURE,MONCEF ZOUITER  (PROPHARMA CENTRE),AUTRES INDUSTRIES CHIMIQUES,,
207121,"SOCIETE TUNISIENNE DES BOISSONS DU CENTRE ""S.T.B.C."" AVENUE HABIB THAMEUR SOUSSE",GENERAL,AGRICULTURE,"SOCIETE TUNISIENNE DES BOISSONS DU CENTRE ""S.T.B.C.""",INDUSTRIES DES BOISSONS,,
207271,O T D T A K E L S A TAKELSA,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
207331,O T D ENNOUR GROMBALIA,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
207411,O T D GHEZALA MATEUR HACHED,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
207461,O T D RAMLIA SILIANA,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
207462,O T D RAMLIA SILIANA,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
207481,O T D BADROUNA BOU SALEM,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
207481,OTD BADROUNA BOU SALEM,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
207491,O T D CHEMTOU OUED MLIZ,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
207511,O T D ENFIDHA ENFIDHA,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
207531,O T D CHAAL CHAAL SFAX,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
207541,O T D ESSALAMA RTE DE SBEITLA MENZEL CHAKER SFAX,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
207551,O T D BOUZOUITA MENZEL CHAKER,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
207571,O T D BIR ALI BEN KHELIFA BIR ALI BEN KHELIFA,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
207591,O T D OUED EDDARB KASSERINE,GENERAL,AGRICULTURE,O T D,PRODUCTION VEGETALE,,
